Linux 6.6.74+rpt-rpi-v8 (snow) 	07/03/25 	_aarch64_	(4 CPU)

12:40:24     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
12:40:25     all   26.46    0.00    6.11    0.00    0.00    0.00    0.00    0.00    0.00   67.43
12:40:26     all   27.62    0.00    6.91    0.00    0.00    0.51    0.00    0.00    0.00   64.96
12:40:27     all   28.46    0.00    6.15    0.00    0.00    0.26    0.00    0.00    0.00   65.13
12:40:28     all   25.32    0.00    6.33    0.51    0.00    0.00    0.00    0.00    0.00   67.85
12:40:29     all   26.21    0.00    6.62    0.00    0.00    0.25    0.00    0.00    0.00   66.92
12:40:30     all   27.11    0.00    6.65    0.00    0.00    0.00    0.00    0.00    0.00   66.24
12:40:31     all   25.52    0.00    5.41    0.00    0.00    0.00    0.00    0.00    0.00   69.07
12:40:32     all   25.64    0.00    5.90    0.00    0.00    0.77    0.00    0.00    0.00   67.69
12:40:33     all   26.13    0.00    7.29    0.25    0.00    0.25    0.00    0.00    0.00   66.08
12:40:34     all   24.68    0.00    5.71    0.00    0.00    0.00    0.00    0.00    0.00   69.61
12:40:35     all   24.16    0.00    5.91    0.00    0.00    0.00    0.00    0.00    0.00   69.92
12:40:36     all   25.71    0.00    6.17    0.00    0.00    0.00    0.00    0.00    0.00   68.12
12:40:37     all   29.52    0.00    7.12    0.00    0.00    0.25    0.00    0.00    0.00   63.10
12:40:38     all   27.58    0.00    5.41    0.00    0.00    0.00    0.00    0.00    0.00   67.01
12:40:39     all   26.21    0.00    6.36    0.00    0.00    0.25    0.00    0.00    0.00   67.18
12:40:40     all   24.81    0.00    5.94    0.00    0.00    0.00    0.00    0.00    0.00   69.25
12:40:41     all   26.90    0.00    6.09    0.00    0.00    0.25    0.00    0.00    0.00   66.75
12:40:42     all   29.26    0.00    6.36    0.00    0.00    0.00    0.00    0.00    0.00   64.38
12:40:43     all   24.35    0.00    6.48    0.00    0.00    0.26    0.00    0.00    0.00   68.91
12:40:44     all   27.92    0.00    5.33    0.00    0.00    0.25    0.00    0.00    0.00   66.50
12:40:45     all   25.13    0.00    6.92    0.00    0.00    0.26    0.00    0.00    0.00   67.69
12:40:46     all   24.62    0.00    7.61    0.00    0.00    0.25    0.00    0.00    0.00   67.51
12:40:47     all   26.03    0.00    5.67    0.00    0.00    0.00    0.00    0.00    0.00   68.30
